FileName,Caption,Hashtags,Status,PostedDate
reel_1.mp4,Nobody is coming to save you. Build yourself.,#motivation #mindset #discipline #success #selfimprovement #growth,No,
reel_2.mp4,Discipline will take you where motivation can't.,#motivation #mindset #discipline #success #selfimprovement #growth,No,
reel_3.mp4,Small progress every day creates big results.,#motivation #mindset #discipline #success #selfimprovement #growth,No,
reel_4.mp4,Success starts when excuses end.,#motivation #mindset #discipline #success #selfimprovement #growth,No,
reel_5.mp4,Your future depends on what you do today.,#motivation #mindset #discipline #success #selfimprovement #growth,No,
reel_6.mp4,Stay focused. Stay hungry. Stay humble.,#motivation #mindset #discipline #success #selfimprovement #growth,No,
reel_7.mp4,"Dream big, work bigger.",#motivation #mindset #discipline #success #selfimprovement #growth,No,
reel_8.mp4,Consistency beats intensity.,#motivation #mindset #discipline #success #selfimprovement #growth,No,
reel_9.mp4,Stop waiting. Start building.,#motivation #mindset #discipline #success #selfimprovement #growth,No,
reel_10.mp4,The pain of regret hurts more than hard work.,#motivation #mindset #discipline #success #selfimprovement #growth,No,
reel_11.mp4,Become obsessed with improving yourself.,#motivation #mindset #discipline #success #selfimprovement #growth,No,
reel_12.mp4,Comfort is the enemy of growth.,#motivation #mindset #discipline #success #selfimprovement #growth,No,
reel_13.mp4,Discipline is freedom.,#motivation #mindset #discipline #success #selfimprovement #growth,No,
reel_14.mp4,Every expert was once a beginner.,#motivation #mindset #discipline #success #selfimprovement #growth,No,
reel_15.mp4,Hard days create strong people.,#motivation #mindset #discipline #success #selfimprovement #growth,No,
reel_16.mp4,Win in silence and let success make the noise.,#motivation #mindset #discipline #success #selfimprovement #growth,No,
reel_17.mp4,"Focus on progress, not perfection.",#motivation #mindset #discipline #success #selfimprovement #growth,No,
reel_18.mp4,Be stronger than your excuses.,#motivation #mindset #discipline #success #selfimprovement #growth,No,
reel_19.mp4,Your habits decide your future.,#motivation #mindset #discipline #success #selfimprovement #growth,No,
reel_20.mp4,"Success is earned, not given.",#motivation #mindset #discipline #success #selfimprovement #growth,No,
reel_21.mp4,Nobody is coming to save you. Build yourself.,#motivation #mindset #discipline #success #selfimprovement #growth,No,
reel_22.mp4,Discipline will take you where motivation can't.,#motivation #mindset #discipline #success #selfimprovement #growth,No,
reel_23.mp4,Small progress every day creates big results.,#motivation #mindset #discipline #success #selfimprovement #growth,No,
reel_24.mp4,Success starts when excuses end.,#motivation #mindset #discipline #success #selfimprovement #growth,No,
reel_25.mp4,Your future depends on what you do today.,#motivation #mindset #discipline #success #selfimprovement #growth,No,
reel_26.mp4,Stay focused. Stay hungry. Stay humble.,#motivation #mindset #discipline #success #selfimprovement #growth,No,
reel_27.mp4,"Dream big, work bigger.",#motivation #mindset #discipline #success #selfimprovement #growth,No,
reel_28.mp4,Consistency beats intensity.,#motivation #mindset #discipline #success #selfimprovement #growth,No,
